,text,image_caption,surface_message,background_knowledge,A,B,C,D,answer,expert_label,prompt,result_text,predicted_answer
10,how we see muslims how muslims see us.,"It is two images, one of a smiling Muslim family with a baby, and one of smiling Americans waving flags.","It is two images, one of a smiling Muslim family with a baby, and one of smiling Americans waving flags. The author describes the image as how we see muslims how muslims see us.",There is a western movement to be kind and accepting toward Muslims.,"The author is saying that Muslims see Americans as friendly and welcoming, just as Americans see Muslims as friendly and welcoming.",Muslims and Americans can be friends and have a positive view of each other.,It is making fun of people who oversimplify other groups of people.,Muslims and Americans are not as different as people might think.,C,N,nan,nan,n
11,the pose with the squad no matter where ya at.,It is an image of two African American boys swimming underwater in a pool. .,It is an image of two African American boys swimming underwater in a pool. . The author describes the image as the pose with the squad no matter where ya at.,"The ""squad"" is a term used to refer a person's group of close friends. Friends often engage in a specific activity repeatedly when they hang out. ","The author is saying that the squad is always together, even when they are underwater.",Friend groups can celebrate their union no matter where they are with their signature pose. ,The author is saying that they are with their friends no matter where they are.,"The meme is suggesting that the boys are part of a group of friends who are always together, even when they are swimming underwater.",B,N,nan,nan,n
12,michelle obama was voted one of the most beautiful people of 2015! by who? the national association for the blind!.,It is an image of Michelle Obama sitting and holding a microphone.,It is an image of Michelle Obama sitting and holding a microphone. The author describes the image as michelle obama was voted one of the most beautiful people of 2015! by who? the national association for the blind!.,Michelle Obama is the former First Lady of the United States and is of African American descent and the National Association for the Blind is an organization that supports visually impaired individuals.,Michelle Obama is ugly.,Michelle Obama is considered beautiful even by those who cannot see her.,"The author is making a joke about Michelle Obama being voted one of the most beautiful people in 2015 by an organization for the blind, implying that they cannot see her.",The meme is making fun of Michelle Obama's appearance and the organization that voted her one of the most beautiful people of 2015.,A,N,nan,nan,n
13,that reminds me! it's time to fuck the goat!.,It is an image of a 1971 war of liberation leader person in a jail cell he is a muslim.,It is an image of a 1971 war of liberation leader person in a jail cell he is a muslim. The person in the meme says that that reminds me! it's time to fuck the goat!.,,Forgetting to put the trash out on time means that the garbage truck won't come back to pick it up until the next day.,Muslims are violent and have sex with animals.,The man in the meme wants to fuck a goat.,The meme is making a derogatory comment about Muslims and their religious practices.,C,H,nan,nan,n
14,"six kids, no husband, no job, and food stamps $10,000 back in income taxes.",It is an image of two women and two children playing with a ball in a driveway. .,"It is an image of two women and two children playing with a ball in a driveway. . The author describes the image as six kids, no husband, no job, and food stamps $10,000 back in income taxes.",Food stamps and tax back programs enroll many Americans today.,The author is making a negative assumption about the family's financial situation and implying that they are taking advantage of government assistance programs.,People who receive food stamps and tax backs are lazy and undeserving.,The meme is criticizing the government's welfare system.,Government relief programs make people lazy and irresponsible.,D,H,nan,nan,n
15,did we run out of gas ? someone get out and push.,"In the image, there is a raft full of people. All of the people are black and are looking backwards towards the camera. The background is a large body of water.","In the image, there is a raft full of people. All of the people are black and are looking backwards towards the camera. The background is a large body of water. The person in the meme says that did we run out of gas ? someone get out and push.",Many refugees make dangerous journeys on rafts like these to escape trouble in their home countries.,"The author is making a joke about the dangerous journey these people are on, suggesting they need to get out and push the raft.",The meme is making fun of refugees.,"The meme is making light of a serious situation, suggesting that the people on the raft are not in danger but just need to find a way to keep moving.",The meme is making fun of the dangers refugees face on their journeys.,D,N,nan,nan,n
16,don't be limited by your circumstances you can achieve anything!.,It is an image of a white male with a prosthetic leg outside stretching his legs.,It is an image of a white male with a prosthetic leg outside stretching his legs. The author describes the image as don't be limited by your circumstances you can achieve anything!.,People with prosthetic limbs are considered to be at a disadvantage.,People with prosthetic legs can still be runners.,Overcoming obstacles is possible.,"Despite having a disability, this man is able to overcome his limitations and achieve his goals.",People with disabilities can overcome their limitations and achieve success.,A,N,nan,nan,n
17,when your dad comes home from a suicide bombing.,It is an image of a Muslim woman wearing a hijab.,It is an image of a Muslim woman wearing a hijab. The author describes the image as when your dad comes home from a suicide bombing.,Muslim people are stereotyped as being terrorists.,The meme is making fun of the stereotype that Muslims are terrorists.,Muslim people are terrorists.,Muslim women are terrorists.,The author is saying that Muslim people are terrorists and do suicide bombings.,D,H,nan,nan,n
18,"my girlfriend said ""no more sex in our bed until you put a ring on it"" i really hope that she likes it.","It is two images, one of a boxing ring and another of a bed.","It is two images, one of a boxing ring and another of a bed. The author describes the image as my girlfriend said ""no more sex in our bed until you put a ring on it"" i really hope that she likes it.",Some women dislike too much sex before marriage because they feel taken advantage of.,It is making fun of miscommunication between men and women.,The meme is making fun of women who want commitment before having sex.,The author's girlfriend wants a commitment before having sex in their bed again.,The author's girlfriend wants a commitment before having sex in their bed.,A,N,nan,nan,n
19,it's a boy.,It is an image of two Muslim women smiling at each other and one of them is pregnant.,It is an image of two Muslim women smiling at each other and one of them is pregnant. The author describes the image as it's a boy.,Understanding of the male chauvinism of some Asian countries.,"The Muslim woman is having a boy, which is seen as a positive thing in some Asian cultures.",People in some Asian countries prefer to have a boy than a girl.,The author is making a sexist joke about the baby being a boy and the women being pregnant.,The meme is making fun of the idea that having a boy is more important than having a girl in some cultures.,B,N,nan,nan,n
20,dude i'm joking grandma didn't use your pacifier as a butt plug.,It is an image of 2 babies laying next to each other on a bed. One of them is smiling and the other is crying.,It is an image of 2 babies laying next to each other on a bed. One of them is smiling and the other is crying. The author describes the image as dude i'm joking grandma didn't use your pacifier as a butt plug.,"Understanding of the concept of a pacifier, which is a small rubber or silicone nipple used to soothe a baby. Familiarity with the concept of a butt plug, which is a sex toy used for anal stimulation. ","The author is joking about a grandmother using a pacifier as a butt plug, which is a ridiculous and inappropriate idea.",The smiling baby was joking that their grandma use the crying baby's pacifier as her butt plug.,The author is joking about a grandmother using a pacifier as a butt plug.,The meme is making fun of the idea of a grandmother using a pacifier as a butt plug.,B,N,nan,nan,n
21,if you havin' road problems i feel bad for you son i got 99 problems but this ditch aint one.,It is an image of a wrecked 1995 Toyota Corolla on the side of the road. .,It is an image of a wrecked 1995 Toyota Corolla on the side of the road. . The author describes the image as if you havin' road problems i feel bad for you son i got 99 problems but this ditch aint one.,"1. The meme is a parody of the song ""99 Problems"" by Jay-Z. 2. The song's lyrics mention having ""99 problems but a bitch ain't one."" 3. The meme replaces ""bitch"" with ""this ditch,"" making a humorous connection between the car wreck and the song's lyrics. 4. The meme implies that the person in the car wreck has many problems, but the car wreck itself is not one of them. ","The meme is a parody of the song ""99 Problems"" by Jay-Z. 2. The song's lyrics mention having ""99 problems but a bitch ain't one.""","The meme is making fun of car wrecks and the song ""99 Problems.","The person in the car wreck has many problems, but the car wreck itself is not one of them.",The person in the meme is saying that the car wreck is not a problem for them.,A,N,nan,nan,n
22,knock knock. who's there? your parent! now open up this damn door.,"It is two images, one of a man in a suit knocking on a door and one of a man kicking down a door with a woman in the background. The first man is white. There are two genders among the photos. There are no sexual orientations, celebrities, or religions pictured. .","It is two images, one of a man in a suit knocking on a door and one of a man kicking down a door with a woman in the background. The first man is white. There are two genders among the photos. There are no sexual orientations, celebrities, or religions pictured. . The person in the meme says that knock knock. who's there? your parent! now open up this damn door.",This requires an understanding of parental roles and the boundaries their children want at the parents' expense. ,Parents are entitled to their kids' room. ,"The author is saying that parents can be intrusive and demanding, even when their children want privacy.",Parents can be overbearing and intrusive.,Parents should respect their children's boundaries.,A,N,nan,nan,n
23,"""no, this is no good. you could fit a mexican child through here.",It is an image of 5 people sitting on top of a wall similar to wall on the south border of the United States. .,"It is an image of 5 people sitting on top of a wall similar to wall on the south border of the United States. . The person in the meme says that ""no, this is no good. you could fit a mexican child through here.",Knowledge of the debate surrounding immigration and border security between the United States and Mexico.,The current border wall is not effective in preventing people from crossing.,The author is making a sarcastic comment about the ineffectiveness of the wall in preventing people from crossing the border.,The meme is making fun of the immigration debate and the idea of building a wall to prevent Mexican immigrants from entering the United States.,The wall depicted is not good enough to prevent Mexican children from crossing.,D,N,nan,nan,n
24,when you snap a photo with the friend that never smiles.,It is an image of a truck on a dirt road next to a large tree in the woods.,It is an image of a truck on a dirt road next to a large tree in the woods. The author describes the image as when you snap a photo with the friend that never smiles.,Snapping a photo refers to taking a picture.,The friend who never smiles is a metaphor for someone who is always serious or unhappy.,The author is saying that this friend never smiles in photos.,The meme is making fun of a friend who never smiles.,The truck looks like it has a face with a blank expression.,D,N,nan,nan,n
25,kid with cancer: so when i get out of the hospital i'm going to join you? the avengers visiting him:,"It is an image of 4 people giving thumbs up with their hands. Specific races present in the image include African American, Caucasian, Asian, and Hispanic. Specific religions are not present in the image. Men and women are present in the image, but specific sexual orientations are not. There are no specific celebrities present in the picture.",The first lines is dialogue from the kid with cancer. The bottom line indicates that the image is a reaction from the Avengers visiting him. ,This requires a knowledge of the Avengers as a group of fictional superheroes and awareness of the impact of cancer on children and the importance of support for them.,The Avengers don't meaningfully help the kid with cancer by visiting them. ,The Avengers are visiting a kid with cancer to provide emotional support and encouragement.,The Avengers are heroes who care about and support children with cancer.,The Avengers are visiting a kid with cancer to provide support and encouragement.,A,N,nan,nan,n
26,she's chilling with her new purchases.,It is an image of a woman holding shopping bags and looking at her cell phone. .,It is an image of a woman holding shopping bags and looking at her cell phone. . The author describes the image as she's chilling with her new purchases.,1. Understanding of the concept of shopping and its potential impact on people's emotions. 2. Familiarity with the idea that people can derive pleasure or satisfaction from making purchases.,The woman is happy with her purchases.,"The woman is enjoying her new purchases, suggesting that shopping can bring happiness or satisfaction.",The woman is enjoying her shopping experience.,The woman is enjoying her new purchases.,A,N,nan,nan,n
27,a little gas never killed anybody right?.,It is an old cartoon of a businessman being hit by lightning.,It is an old cartoon of a businessman being hit by lightning. The author describes the image as a little gas never killed anybody right?.,Knowledge of lightning and its danger.,Indigestion can kill you by striking you with lightning.,"The meme is trying to say that a little gas is not dangerous, just like the lightning in the cartoon.","The meme is making fun of the idea that a little bit of gas, like a small amount of lightning, is not dangerous.",The meme is suggesting that a little bit of gas (possibly pollution) won't hurt anyone.,A,N,nan,nan,n
28,summers here lets swim.,It is an image of a young girl smiling in a swimming pool.,It is an image of a young girl smiling in a swimming pool. The author describes the image as summers here lets swim.,1. Knowing how hot the summer is.,"The summer season is here, so it's time to enjoy swimming.",The meme is promoting swimming as a fun activity during the summer.,It is summer so let's swim because it's the perfect weather to swim.,The author is excited for summer and wants to go swimming.,C,N,nan,nan,n
29,slice and dice n1gg3r.,It is an image of an African American man cooking in a home kitchen.,It is an image of an African American man cooking in a home kitchen. The author describes the image as slice and dice n1gg3r.,African Americans were formerly viewed as only good for slavery to menial tasks.,African Americans are only good for menial tasks.,African Americans are still viewed as good for menial tasks.,African Americans deserve to always be doing menial labor.,The author is using a racial slur to describe the man cooking.,C,H,nan,nan,n
30,can't get enough save palestinian kids.,This is two images. On the top is Israel prime minister Benjamin Netanyahu. On the bottom is a young Palestinian boy whose face is covered in blood.,This is two images. On the top is Israel prime minister Benjamin Netanyahu. On the bottom is a young Palestinian boy whose face is covered in blood. The author describes the image as can't get enough save palestinian kids.,Knowledge of Israel prime minister Benjamin Netanyahu and how many question his morality. Knowledge of the violence in Palestine.,The meme is criticizing Netanyahu for not doing enough to protect Palestinian children.,The author is questioning Netanyahu's morality and policies against Palestine.,The author is implying that Benjamin Netanyahu is responsible for the violence against Palestinian children.,The meme is making fun of the violence in Palestine and the suffering of the Palestinian children.,B,N,nan,nan,n
31,lol she thinks she's a goat.,It is an image of two parts. The top parts shows a goat with a field behind it. The bottom part shows a young white woman wearing makeup. .,It is an image of two parts. The top parts shows a goat with a field behind it. The bottom part shows a young white woman wearing makeup. . The author describes the image as lol she thinks she's a goat.,"Goat is used to mean ""greatest of all time"". ",The woman in the meme thinks she is the greatest of all time. ,"The woman in the image is trying to be the greatest of all time, but she is not.",The woman thinks she's the greatest of all time.,"The author is making fun of the woman, implying she thinks she's the greatest of all time.",A,N,nan,nan,n
32,the face you make when your pussy gets hard.,The face is of a woman standing in a crowd and winking.,The face is of a woman standing in a crowd and winking. The author describes the image as the face you make when your pussy gets hard.,Pussy is often used to reference a female reproductive organ.,The woman is flirting or being playful.,Women are sexually aroused by being in a crowd.,The woman is enjoying something inappropriate or sexual.,It feels good when your pussy gets hard.,D,H,nan,nan,n
33,49 people were killed at christchurch muslim muslim 49 people were killed at christchurch mosques.,It is an image of women wearing headscarves and holding lit candles.,It is an image of women wearing headscarves and holding lit candles. The author describes the image as 49 people were killed at christchurch muslim muslim 49 people were killed at christchurch mosques.,"In 2019, there were 2 terrorist attacks on the same day targeting mosques in Christchurch, New Zealand. Over 49 people died, including many Muslim worshippers. ",The author intends to inform people about the terrorist attacks in Christchurch. / The author intends for people to feel sad over the loss of life.,The meme is commemorating the victims of the Christchurch mosque attacks.,The meme is making fun of the Christchurch mosque attacks.,The author is referencing the Christchurch mosque shootings and the victims who were killed.,A,N,nan,nan,n
34,went down on a muslim bitch. her pussy was the bomb!.,"In the image, a man with his face covered in bandages looks into the camera. He is wearing a suit and tightening his tie.","In the image, a man with his face covered in bandages looks into the camera. He is wearing a suit and tightening his tie. The person in the meme says that went down on a muslim bitch. her pussy was the bomb!.",The phrase 'the bomb' is slang for something that is really good. Muslims and the Middle East are have stereotypes associated with terrorism.,"The meme is making a crude joke about a sexual encounter with a Muslim woman, using the stereotype of terrorism.",The meme is trying to portray an offensive image for Muslims as they are known to have sexual intercourse with goats.,"Because she was Muslim, she was a terrorist, hence the wordplay with 'bomb'.",The meme is making fun of the stereotype that Muslim women are promiscuous and that their genitals are somehow different or better than others.,C,H,nan,nan,n
35,if this is what they call pride.. then i don't wanna see what they call shame.,An image of a man holding a rainbow flag at a pride parade.,An image of a man holding a rainbow flag at a pride parade. The author describes the image as if this is what they call pride.. then i don't wanna see what they call shame.,The rainbow flag is associated with LGBTQ people.,The author is suggesting that pride is a negative emotion and they don't want to see what shame looks like.,Homosexuality is something to be ashamed of.,The author is expressing disdain for the LGBTQ community and their pride.,The meme is mocking LGBTQ people and their pride.,B,H,nan,nan,n
36,when you ask the jewish girl for her number and she starts rolling up her sleeve.,It is an image of a zombie with their mouth open.,It is an image of a zombie with their mouth open. The author describes the image as when you ask the jewish girl for her number and she starts rolling up her sleeve.,"Familiarity with the idea of tattooed numbers, which is often associated with Holocaust victims.",Jewish people are like zombies.,"The author is comparing the Jewish girl to a zombie, suggesting that she is undesirable or scary.",The Jewish girl was a Holocaust victim.,"The Jewish girl is comparing the situation to the Holocaust, suggesting that the person asking for her number is being insensitive or offensive.",C,H,nan,nan,n
37,voting for hillary is like letting casey anthony watch your kids because she's not guilty,The first image is a picture of Hillary Clinton. The second image is a picture of a white woman.,"The first image is a picture of Hillary Clinton with the caption ""voting for hillary is like"". The second image is a picture of a white woman with the caption ""letting casey anthony watch your kids because she's not guilty"".",Hillary Clinton was a presidential candidate. Hillary Clinton was accused of several crimes but was not found guilty for any crime. Casey Anthony was accused of killing her daughter but was found not guilty.,Voting for Hillary Clinton is like trusting someone who was accused of crimes but not found guilty.,Voting for Hillary Clinton is like trusting someone who has been accused of crimes but not found guilty.,People should not vote for Hillary Clinton because she was accused of crimes. ,Voting for Hillary Clinton is like letting Casey Anthony watch your kids because she's not guilty.,C,N,nan,nan,n
38,"we swore we'd never forget, then we took them in and elected them to office.",It is an image of Donald Trump talking.,"It is an image of Donald Trump talking. The person in the meme says that we swore we'd never forget, then we took them in and elected them to office.","""never forget"" refers to the promise to not forget the 9/11 attack. People generalize terrorism onto all people of a race. Some people are not happy about who is elected to office.",We should not elect people to office that could be terrorists.,"Electing a person who is associated with terrorism is a betrayal of the promise to ""never forget.",The meme is suggesting that people who were once terrorists are now in office.,"The author is saying that we promised to never forget the 9/11 attack, but we ended up electing someone who is associated with terrorism.",A,N,nan,nan,n
39,finally synthetic watermelon.,"It is an image of 1 man standing on top of a grassy hill. No specific races, religions, or celebrities are present in the image. However, a specific gender is present. There are no specific sexual orientations present in the image.","It is an image of 1 man standing on top of a grassy hill. No specific races, religions, or celebrities are present in the image. However, a specific gender is present. There are no specific sexual orientations present in the image. The author describes the image as finally synthetic watermelon.",This requires an understanding of the concept of synthetic or artificial products. This requires an understanding that hills look like watermelons. ,The meme is making fun of the idea of synthetic watermelons.,Hills look like fake watermelons. ,The author is saying that the hill looks like a watermelon.,"The author is making a joke about the synthetic watermelon, comparing it to a hill.",B,N,nan,nan,n
40,with black power comes no responsibility.,It is an image of a black man in a suiting sitting in a chair and looking at the camera. .,It is an image of a black man in a suiting sitting in a chair and looking at the camera. . The author describes the image as with black power comes no responsibility.,The Black Power movement was a movement in the 1960s and 1970s to expand the rights of African Americans. ,Black people are irresponsible and should not have power. ,The meme is suggesting that the Black Power movement has no responsibility for its actions.,The author is suggesting that the man in the image is not taking responsibility for his actions or his community.,The meme is making fun of the Black Power movement and suggesting that it led to a lack of responsibility.,A,H,nan,nan,n
41,give it back tyrone... i know you took it.,It is an image of 2 black and white dogs playing with each other. .,It is an image of 2 black and white dogs playing with each other. . The person in the meme says that give it back tyrone... i know you took it.,,Forgetting to put the trash out on time means that the garbage truck won't come back to pick it up until the next day.,Dogs can play like humans. ,The meme is making fun of black people.,The author is accusing someone named Tyrone of taking something.,B,N,nan,nan,n
42,behind this smile is an evil man known as hitler.,"It is an image of Adolf Hitler dressed in official attire, including a German military hat. It is a side-profile and he is smiling.","It is an image of Adolf Hitler dressed in official attire, including a German military hat. It is a side-profile and he is smiling. The author describes the image as behind this smile is an evil man known as hitler.",Adolf Hitler was the leader of Germany under the Nazi party during World War 2. Hitler committed genocide against the Jewish people. People generally consider this evil. A smile is generally associated with being a good person rather than evil.,Hitler is evil although he may look innocent. Don't let others fool you like the Germans did with Hitler.,The author is saying that Hitler's smile is deceptive and hides his evil nature.,Even the most evil people can appear to be good on the surface.,A smile can hide evil intentions.,A,N,nan,nan,n
43,two sad images from american history.,It is an image of two parts. The top part is an animated image of the torch held by the Statue of Liberty. The bottom part is an animated image of a fight in an American city during World War II. Many people are being hanged. .,It is an image of two parts. The top part is an animated image of the torch held by the Statue of Liberty. The bottom part is an animated image of a fight in an American city during World War II. Many people are being hanged. . The author describes the image as two sad images from american history.,"Propaganda posters are used to convey a political message. The Statue of Liberty represents freedom, but the image at the bottom represents lack of freedom with people being attacked and hanged. ",The author is comparing the lack of freedom in America during World War II to the current state of freedom in America.,The meme is highlighting the contrast between the ideals of freedom and the reality of violence in American history.,The meme is suggesting that America has a history of both freedom and oppression.,America is not living up to its ideals of freedom and justice. ,D,N,nan,nan,n
44,what do you get when you cross a pedophile and a pirate arrrrrrr kelly.,"It is an image of Jack Sparrow from Pirates of the Caribbean, who was played by Johnny Depp.","It is an image of Jack Sparrow from Pirates of the Caribbean, who was played by Johnny Depp. The author describes the image as what do you get when you cross a pedophile and a pirate arrrrrrr kelly.","R Kelly is an American convicted child sex offender and former singer, songwriter, and record producer.",The meme is making fun of R Kelly's criminal past.,R Kelly is a pedophile and a pirate.,"Pirates say ARRRR. R Kelly is a pedophile. Hence, ARRRR Kelly is what you get when you combine the two.",The author is making a joke about R Kelly being a pedophile and Johnny Depp being a pirate.,C,N,nan,nan,n
45,now thats a picture of a brave individual.,It is an image of a smiling Anne Frank.,It is an image of a smiling Anne Frank. The author describes the image as now thats a picture of a brave individual.,"Anne Frank was a Jewish girl who documented her experience of living in hiding during the Holocaust, when the Nazis were actively persecuting Jews and sending them to concentration camps to die. She along with her family were eventually discovered by the Nazis, and Anne Frank died at a concentration camp in 1945.",Anne Frank was very brave.,The author is praising Anne Frank for her bravery in the face of extreme adversity.,The meme is making fun of Anne Frank's suffering and death.,Anne Frank was a brave individual who faced unimaginable challenges during the Holocaust.,A,N,nan,nan,n
46,when instincts take over.,It is an image of a black man sitting in front of a laptop and eating a banana.,It is an image of a black man sitting in front of a laptop and eating a banana. The author describes the image as when instincts take over.,1. Understanding dehumanizing racial stereotypes associated with black people. 2. Understanding the connotations between bananas and monkeys.,Black people are like monkeys.,The author is making a racist joke by implying that the black man is acting like an animal.,African Americans are closer to monkeys than people.,The meme is perpetuating a racial stereotype.,C,H,nan,nan,n
